index_number,channel,analog_proc,azi,ele,dist,bit,digital_proc
0,22,RX82,-52.5,25,1.4,,
1,19,RX82,-52.5,12.5,1.4,,
2,20,RX82,-52.5,0,1.4,,
3,21,RX82,-52.5,-12.5,1.4,,
4,18,RX82,-52.5,-25,1.4,,
5,23,RX82,-35,37.5,1.4,,
6,3,RX82,-35,25,1.4,,
7,4,RX82,-35,12.5,1.4,,
8,1,RX82,-35,0,1.4,,
9,2,RX82,-35,-12.5,1.4,,
10,24,RX82,-35,-25,1.4,,
11,17,RX82,-35,-37.5,1.4,,
12,12,RX81,-17.5,37.5,1.4,,
13,11,RX81,-17.5,25,1.4,,
14,10,RX81,-17.5,12.5,1.4,,
15,9,RX81,-17.5,0,1.4,,
16,7,RX82,-17.5,-12.5,1.4,,
17,8,RX82,-17.5,-25,1.4,,
18,5,RX82,-17.5,-37.5,1.4,,
19,5,RX81,0,50,1.4,4,RX81
20,4,RX81,0,37.5,1.4,,
21,3,RX81,0,25,1.4,8,RX81
22,2,RX81,0,12.5,1.4,,
23,1,RX81,0,0,1.4,1,RX81
24,16,RX81,0,-12.5,1.4,,
25,15,RX81,0,-25,1.4,16,RX81
26,14,RX81,0,-37.5,1.4,,
27,13,RX81,0,-50,1.4,64,RX81
28,19,RX81,17.5,37.5,1.4,,
29,20,RX81,17.5,25,1.4,,
30,17,RX81,17.5,12.5,1.4,,
31,18,RX81,17.5,0,1.4,,
32,8,RX81,17.5,-12.5,1.4,,
33,7,RX81,17.5,-25,1.4,,
34,6,RX81,17.5,-37.5,1.4,,
35,13,RX82,35,37.5,1.4,,
36,10,RX82,35,25,1.4,,
37,15,RX82,35,12.5,1.4,,
38,23,RX81,35,0,1.4,,
39,24,RX81,35,-12.5,1.4,,
40,21,RX81,35,-25,1.4,,
41,22,RX81,35,-37.5,1.4,,
42,16,RX82,52.5,25,1.4,,
43,9,RX82,52.5,12.5,1.4,,
44,14,RX82,52.5,0,1.4,,
45,11,RX82,52.5,-12.5,1.4,,
46,12,RX82,52.5,-25,1.4,,
